"","P.ID","Rezept.ID","Mahlgrad","Mehlmenge","Nasspressen","Wassermenge","Preinfusion.Menge","Pause.Preinfusion","Pressdruck","Geschmack","Suesse","Saeure","Bitterkeit","Koerper","Nachgeschmack","Crema..Farbe","Crema..Festigkeit","Crema..Hoehe","Crema..Tigerung"
165,8,pre.6,2,85,0,50,50,8,50,-1,1,1,1,0,NA,0,-1,-1,1
166,13,pre.7,2,85,8,50,30,5,50,2,0,-3,1,1,NA,0,1,1,0
167,14,pre.7,2,85,8,50,30,5,50,0,0,-1,1,1,NA,0,-1,-1,0
168,12,pre.7,2,85,8,50,30,5,50,2,0,-2,-2,-1,NA,0,1,1,1
169,20,pre.7,2,85,8,50,30,5,50,-1,0,-1,-1,1,NA,-1,2,2,0
170,8,pre.7,2,85,8,50,30,5,50,-2,1,0,0,0,NA,0,1,1,0
171,13,pre.8,2,85,0,50,30,5,100,-1,0,-1,-1,0,NA,1,-1,-1,0
172,14,pre.8,2,85,0,50,30,5,100,2,0,1,-1,-1,NA,1,-1,-1,1
173,12,pre.8,2,85,0,50,30,5,100,1,0,-1,-1,-1,NA,1,-1,-1,0
174,20,pre.8,2,85,0,50,30,5,100,-2,0,-1,-3,0,NA,1,0,-2,1
175,8,pre.8,2,85,0,50,30,5,100,1,0,0,0,1,NA,1,-1,-1,1
176,13,pre.9,2,85,0,50,30,5,20,0,0,0,0,1,NA,0,0,0,0
177,14,pre.9,2,85,0,50,30,5,20,-1,0,1,0,0,NA,0,2,1,0
178,12,pre.9,2,85,0,50,30,5,20,0,0,0,0,0,NA,NA,NA,NA,NA
179,20,pre.9,2,85,0,50,30,5,20,-2,0,0,-1,0,NA,NA,NA,NA,NA
180,8,pre.9,2,85,0,50,30,5,20,-1,0,0,0,-1,NA,0,0,0,0
181,13,pre.10,3.5,85,0,50,30,5,50,-2,0,1,2,1,NA,NA,NA,NA,NA
182,14,pre.10,3.5,85,0,50,30,5,50,-1,0,0,1,1,NA,0,0,0,0
183,12,pre.10,3.5,85,0,50,30,5,50,-2,0,-1,-1,-1,NA,NA,NA,NA,NA
184,20,pre.10,3.5,85,0,50,30,5,50,0,0,0,-2,0,NA,-1,2,-1,0
185,8,pre.10,3.5,85,0,50,30,5,50,-3,1,2,1,-2,NA,-1,1,2,0
